department,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01
AC工程课,1,0,0,1,0,0,0,0,0
AC研发一课,1,0,0,0,0,0,0,0,0
AC研发二课,0,1,1,1,1,1,1,1,1
BU10经管部,0,1,0,0,0,0,4,1,0
BU16,1,0,0,0,0,1,1,1,1
CQE课,0,0,0,1,1,1,0,0,0
DG产品开发,0,0,0,0,1,1,1,0,0
DQE课,0,1,0,0,1,0,0,0,0
FE治具开发课,0,1,1,1,1,1,0,0,2
IE课,1,0,0,0,0,0,0,0,0
INV,1,0,0,0,0,0,0,0,0
Non-H连接器项目管理,0,1,0,0,1,1,1,1,1
ODM天线研发课,0,0,0,0,2,1,0,1,0
OPM部,0,0,0,0,1,1,1,1,0
SMT制造部,0,0,0,0,0,0,0,1,1
SQE课,1,3,1,0,0,0,1,0,0
VN人资课,1,0,1,0,0,0,0,0,0
VN信息课,1,0,1,2,1,0,2,1,2
VN制造工程课,0,2,2,1,1,0,0,2,3
VN品管一课,0,0,0,0,1,1,0,0,0
VN成型生产课,0,0,0,0,0,1,0,0,0
VN机加工课,0,0,0,0,0,1,0,0,0
VN物流课,0,0,0,0,1,0,0,0,1
VN生产二课,0,1,1,1,0,0,0,0,0
VN生技课,0,1,0,0,0,0,0,0,1
VN线缆研发,0,0,0,0,0,1,1,1,1
业务应用IT部,12,12,10,6,11,13,10,13,18
东莞EMS NPI课,0,0,1,1,1,1,0,0,0
东莞能源企划部,0,0,0,1,0,0,0,0,0
亚太业务部,1,0,0,0,0,0,0,0,1
亚太线缆项目管理,1,1,0,0,0,0,0,0,0
产品仿真设计,0,1,0,1,2,0,0,0,0
产品工程课,0,1,1,0,1,0,0,0,3
产测装备开发,0,0,1,1,0,0,1,0,0
人事行政课,1,0,0,0,0,0,1,0,1
人力资源部,2,2,1,1,0,1,2,1,1
人资行政处,1,1,0,0,0,0,1,1,0
仓储物流课,1,0,0,0,0,0,0,0,0
仓储课,0,0,0,0,0,1,0,0,0
企业架构管理部,0,1,0,0,0,0,0,0,0
会计一部一课,1,0,0,0,0,0,5,2,1
会计二部,1,1,1,0,0,0,1,0,0
低速线缆研发,1,1,1,1,1,0,1,1,2
体系管理课,0,1,0,0,0,1,0,0,0
信号完整性实验室,1,0,0,0,0,0,0,0,0
光模块工程,0,1,0,0,0,1,0,0,0
光电NPI,0,0,0,0,1,1,0,0,1
光电样品,0,1,1,1,1,1,1,0,0
