日期,当日收盘价,当日涨跌幅(%)
2025-11-30,56.41,
2025-12-01,57.99,2.8
2025-12-02,58.48,0.84
2025-12-03,58.49,0.02
2025-12-04,57.13,-2.33
2025-12-05,58.3,2.05
2025-12-06,58.3,0.0
2025-12-07,58.3,0.0
2025-12-08,58.19,-0.19
2025-12-09,60.68,4.28
2025-12-10,61.82,1.88
2025-12-11,63.6,2.88
2025-12-12,62.02,-2.48
2025-12-13,62.02,0.0
2025-12-14,62.02,0.0
2025-12-15,64.09,3.34
2025-12-16,63.75,-0.53
2025-12-17,66.24,3.91
2025-12-18,65.51,-1.1
2025-12-19,67.17,2.53
2025-12-20,67.17,0.0
2025-12-21,67.17,0.0
2025-12-22,69.07,2.83
2025-12-23,71.48,3.49
2025-12-24,71.97,0.69
2025-12-25,71.97,0.0
2025-12-26,79.16,9.99
2025-12-27,79.16,0.0
2025-12-28,79.15,-0.01
2025-12-29,72.18,-8.81
