日期,当日收盘价,当日涨跌幅(%)
2025-11-30,4216.34,
2025-12-01,4232.19,0.38
2025-12-02,4205.87,-0.62
2025-12-03,4203.19,-0.06
2025-12-04,4208.89,0.14
2025-12-05,4197.38,-0.27
2025-12-06,4197.38,0.0
2025-12-07,4197.2,-0.0
2025-12-08,4189.79,-0.18
2025-12-09,4208.41,0.44
2025-12-10,4228.66,0.48
2025-12-11,4279.77,1.21
2025-12-12,4302.42,0.53
2025-12-13,4302.42,0.0
2025-12-14,4302.42,0.0
2025-12-15,4305.24,0.07
2025-12-16,4302.43,-0.07
2025-12-17,4338.96,0.85
2025-12-18,4332.64,-0.15
2025-12-19,4338.54,0.14
2025-12-20,4338.54,0.0
2025-12-21,4338.54,0.0
2025-12-22,4443.75,2.43
2025-12-23,4485.82,0.95
2025-12-24,4479.63,-0.14
2025-12-25,4479.63,0.0
2025-12-26,4532.63,1.18
2025-12-27,4532.63,0.0
2025-12-28,4532.63,0.0
2025-12-29,4330.68,-4.46
